Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:09:37][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part014.zip index:113166
[2025-12-01 19:09:45][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part014.zip success. index:113166 file size:173,67 MB
[2025-12-01 19:09:46][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part015.zip index:115441
[2025-12-01 19:09:54][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part015.zip success. index:115441 file size:165,60 MB
[2025-12-01 19:09:54][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part016.zip index:124104
[2025-12-01 19:10:03][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part016.zip success. index:124104 file size:192,69 MB
[2025-12-01 19:10:03][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part017.zip index:132940
[2025-12-01 19:10:12][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part017.zip success. index:132940 file size:191,40 MB
[2025-12-01 19:10:12][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part018.zip index:140329
[2025-12-01 19:10:21][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part018.zip success. index:140329 file size:187,06 MB
[2025-12-01 19:10:21][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part019.zip index:156227
[2025-12-01 19:10:33][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part019.zip success. index:156227 file size:195,80 MB
[2025-12-01 19:10:33][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part020.zip index:168924
